
Summary,RE1,RE2
Emissions
,EMIC02_A,99999
,EMICH4_A,0
,EMIFGA_A,0
,EMIN2O_A,0
,EMIREN_A,0
,EMIC02_B,0
,EMICH4_B,0
,EMIFGA_B,0
,EMIN2O_B,0
,EMIREN_B,0
,EMIC02_A,0
,EMICH4_A,0
,EMIFGA_A,0
,EMIN2O_A,0
,EMIREN_A,0
,EMIC02_B,0
,EMICH4_B,0
,EMIFGA_B,0
,EMIN2O_B,0
,EMIREN_B,0

Cost,35774.5,72908

TID Demand

,RE1
2029,0,0,0,0,0,0,0,0,0,0,0,0,84.2967,0,0
2030,0,0,0,0,0,0,0,0,0,0,0,0,91.1411,0,0
2031,0,0,0,0,0,0,0,0,0,0,0,0,99.9808,0,0
2032,0,0,0,0,0,0,0,0,0,0,0,0,100.939,0,0
2033,0,0,0,0,0,0,0,0,0,0,0,0,111.534,0,0
2034,0,0,0,0,0,0,0,0,0,0,0,0,119.37,0,0
2035,0,0,0,0,0,0,0,0,0,0,0,0,130.523,0,0
2036,0,0,0,0,0,0,0,0,0,0,0,0,135.859,0,0
2037,0,0,0,0,0,0,0,0,0,0,0,0,146.339,0,0
2038,0,0,0,0,0,0,0,0,0,0,0,0,156.917,0,0
2039,0,0,0,0,0,0,0,0,0,0,0,0,178.643,0,0
2040,0,0,0,0,0,0,0,0,0,0,0,0,184.32,0,0
2041,0,0,0,0,0,0,0,0,0,0,0,0,189.938,0,0
2042,0,0,0,0,0,0,0,0,0,0,0,0,206.51,0,0
2043,0,0,0,0,0,0,0,0,0,0,0,0,217.291,0,0
2044,0,0,0,0,0,0,0,0,0,0,0,0,215.28,0,0
2045,0,0,0,0,0,0,0,0,0,0,0,0,227.41,0,0
2046,0,0,0,0,0,0,0,0,0,0,0,0,248.166,0,0
2047,0,0,0,0,0,0,0,0,0,0,0,0,254.098,0,0
2048,0,0,0,0,0,0,0,0,0,0,0,0,288.838,0,0
2049,0,0,0,0,0,0,0,0,0,0,0,0,305.368,0,0
2050,0,0,0,0,0,0,0,0,0,0,0,0,312.458,0,0
2051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

PWRDIST_B,ELC003_A,COA_A,OIL_A,NGS_A,ELC001_A,ELC002_A,BIO_A,HYD_A,GEO_A,URN_A,SOL_A,ELC001_B,ELC002_B,ELC003_B,WND_B
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5228,0
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,29.7936,0
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,32.166,0
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5385,0
2019,0,0,0,0,0,0,0,0,0,0,0,0,0,36.9109,0
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,39.2833,0
2021,0,0,0,0,0,0,0,0,0,0,0,0,0,41.4087,0
2022,0,0,0,0,0,0,0,0,0,0,0,0,0,43.6849,0
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,46.1204,0
2024,0,0,0,0,0,0,0,0,0,0,0,0,0,48.7243,0
2025,0,0,0,0,0,0,0,0,0,0,0,0,0,51.5064,0
2026,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0955,0
2027,0,0,0,0,0,0,0,0,0,0,0,0,0,58.9318,0
2028,0,0,0,0,0,0,0,0,0,0,0,0,0,63.0317,0
2029,0,0,0,0,0,0,0,0,0,0,0,0,0,67.4126,0
2030,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0931,0
2031,0,0,0,0,0,0,0,0,0,0,0,0,0,88.6748,0
2032,0,0,0,0,0,0,0,0,0,0,0,0,0,82.8205,0
2033,0,0,0,0,0,0,0,0,0,0,0,0,0,88.8136,0
2034,0,0,0,0,0,0,0,0,0,0,0,0,0,95.2652,0
2035,0,0,0,0,0,0,0,0,0,0,0,0,0,104.399,0
2036,0,0,0,0,0,0,0,0,0,0,0,0,0,112.472,0
2037,0,0,0,0,0,0,0,0,0,0,0,0,0,121.154,0
2038,0,0,0,0,0,0,0,0,0,0,0,0,0,130.491,0
2039,0,0,0,0,0,0,0,0,0,0,0,0,0,140.532,0
2040,0,0,0,0,0,0,0,0,0,0,0,0,0,151.332,0
2041,0,0,0,0,0,0,0,0,0,0,0,0,0,160.23,0
2042,0,0,0,0,0,0,0,0,0,0,0,0,0,169.649,0
2043,0,0,0,0,0,0,0,0,0,0,0,0,0,179.621,0
2044,0,0,0,0,0,0,0,0,0,0,0,0,0,190.178,0
2045,0,0,0,0,0,0,0,0,0,0,0,0,0,201.354,0
2046,0,0,0,0,0,0,0,0,0,0,0,0,0,213.414,0
2047,0,0,0,0,0,0,0,0,0,0,0,0,0,226.18,0
2048,0,0,0,0,0,0,0,0,0,0,0,0,0,239.693,0
2049,0,0,0,0,0,0,0,0,0,0,0,0,0,253.996,0
2050,0,0,0,0,0,0,0,0,0,0,0,0,0,269.136,0
2051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

MINWND_B,ELC003_A,COA_A,OIL_A,NGS_A,ELC001_A,ELC002_A,BIO_A,HYD_A,GEO_A,URN_A,SOL_A,ELC001_B,ELC002_B,ELC003_B,WND_B
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.8928
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.558
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.6144
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.6527
2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.5727
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.6861
2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.3569
2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.2124
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.2622
2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.5936
2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.1777
2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.4034
2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.3309
2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.5841
2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.5115
2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.6982
2031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.98
2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.986
2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.111
2034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.338
2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.049
2036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.652
2037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.656
2038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.763
2039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.576
2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.008
2041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.006
2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.432
2043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.785
2044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.221
2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.413
2046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.574
2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.528
2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.504
2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322.988
2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.409
2051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

LINFLX_A,ELC003_A,COA_A,OIL_A,NGS_A,ELC001_A,ELC002_A,BIO_A,HYD_A,GEO_A,URN_A,SOL_A,ELC001_B,ELC002_B,ELC003_B,WND_B
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

LINFLX_B,ELC003_A,COA_A,OIL_A,NGS_A,ELC001_A,ELC002_A,BIO_A,HYD_A,GEO_A,URN_A,SOL_A,ELC001_B,ELC002_B,ELC003_B,WND_B
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Annual Use (Energy Units)
,RE1
BACKSTOP_A,ELC003_A,COA_A,OIL_A,NGS_A,ELC001_A,ELC002_A,BIO_A,HYD_A,GEO_A,URN_A,SOL_A,ELC001_B,ELC002_B,ELC003_B,WND_B
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

MINCOA_A,ELC003_A,COA_A,OIL_A,NGS_A,ELC001_A,ELC002_A,BIO_A,HYD_A,GEO_A,URN_A,SOL_A,ELC001_B,ELC002_B,ELC003_B,WND_B
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

MINOIL_A,ELC003_A,COA_A,OIL_A,NGS_A,ELC001_A,ELC002_A,BIO_A,HYD_A,GEO_A,URN_A,SOL_A,ELC001_B,ELC002_B,ELC003_B,WND_B
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
